cout_materiaux_ht;cout_implementation_ht;cout_total_ht;cout_induit_ht;date_sigture_devis;date_facture;date_x;annee_travaux;revenu_mo;climat;code_region;code_departement;departement;type_logement;annee_construction;constr_cat;nb_pieces;surf_habitable;montant_aides_fincieres;type_aides_fincieres;renovation_globale;marque;modele;energie_chauffage_avt_travaux;energie_chauffage_installee;generateur;type_chaudiere;cop;puissance;rendement
;1810;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;FROLING;PE1;;BOIS;CHAUDIERE;STANDARD;;20;
1980;;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;MCZ;AMY;BOIS;GAZ;POELE;;;6;
11496;1536;13032;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;ATLANTIC;EXCELIA;FIOUL;ELECTRICITE;PAC;AIR-EAU;;14;
4925;1000;5925;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;BOSCH;OLIO CONDENS 4000F;FIOUL;FIOUL;CHAUDIERE;A CONDENSATION;;22;
13111;1536;14647;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;OKOFEN;;BOIS;BOIS;CHAUDIERE;STANDARD;;15;
;;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;MITSUBISHI;ECODAN HYDROBOX;;ELECTRICITE;PAC;AIR-EAU;;;
;;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;FRISQUET;HYDROCONFORT CONDENSATION;;GAZ;CHAUDIERE;A CONDENSATION;;20;94
;;3912.796209;;;;;;;H1;32;;;INDIVIDUEL;1949;de 1945 à 1973;;100;;;Rénovation à plusieurs gestes de travaux;;;AUTRES;GAZ;AUTRES;;;;
;;;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;01;AIN;INDIVIDUEL;;;;;;;;VIESSMANN;VITODENS 100;;GAZ;CHAUDIERE;A CONDENSATION;;;
;;4045.49763;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1976;de 1974 à 1990;;100;;;Rénovation à plusieurs gestes de travaux;;;GAZ;GAZ;CHAUDIERE;HPE;;;
;;19777.25118;;;;;;0;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;140;;;Rénovation à plusieurs gestes de travaux;;;ELECTRICITE;;AUTRES;;;;
;;10600;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;131;;;Rénovation à plusieurs gestes de travaux;;;BOIS;ELECTRICITE;AUTRES;;;;
;;4688.151659;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;83;;;Rénovation à plusieurs gestes de travaux;;;ELECTRICITE;BOIS;POELE;;;;
;;6957.345972;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1949;de 1945 à 1973;;100;;;Rénovation à plusieurs gestes de travaux;;;ELECTRICITE;;AUTRES;;;;
;;4265.402844;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;100;;;Rénovation à plusieurs gestes de travaux;;;ELECTRICITE;BOIS;POELE;;;;
;;9206.635071;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;110;;;Rénovation à plusieurs gestes de travaux;;;BOIS;ELECTRICITE;PAC;AIR-AIR;;;
;;4739.336493;;;;;;31502;H1;32;02;AISNE;INDIVIDUEL;1949;de 1945 à 1973;;99;;;Rénovation à plusieurs gestes de travaux;;;GAZ;GAZ;CHAUDIERE;HPE;;;
;;7731.753555;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;86;;;Rénovation à plusieurs gestes de travaux;;;GAZ;GAZ;CHAUDIERE;HPE;;;
;;12796.20853;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;110;;;Rénovation à plusieurs gestes de travaux;;;ELECTRICITE;BOIS;AUTRES;;;;
;;4468.246445;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;160;;;Rénovation à plusieurs gestes de travaux;;;GAZ;GAZ;CHAUDIERE;HPE;;;
;;15702.36967;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;162;;;Rénovation à plusieurs gestes de travaux;;;GAZ;BOIS;CHAUDIERE;;;;
;;6155.450237;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;130;;;Rénovation à plusieurs gestes de travaux;;;FIOUL;FIOUL;CHAUDIERE;HPE;;;
;;2000;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1949;de 1945 à 1973;;101;;;Rénovation à plusieurs gestes de travaux;;;GAZ;GAZ;CHAUDIERE;HPE;;;
;;17819.90521;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1976;de 1974 à 1990;;177;;;Rénovation à plusieurs gestes de travaux;;;GAZ;GAZ;CHAUDIERE;HPE;;;
;;5063.507109;;;;;;;H1;32;;;INDIVIDUEL;1976;de 1974 à 1990;;116;;;Rénovation à plusieurs gestes de travaux;;;GAZ;GAZ;CHAUDIERE;HPE;;;
;;8568.720379;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;80;;;Rénovation à plusieurs gestes de travaux;;;GAZ;GAZ;CHAUDIERE;HPE;;;
;;10704.2654;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;135;;;Rénovation à plusieurs gestes de travaux;;;FIOUL;GAZ;CHAUDIERE;HPE;;;
;;17819.90521;;;;;;;H1;32;02;AISNE;INDIVIDUEL;1900;av. 1945;;85;;;Rénovation à plusieurs gestes de travaux;;;BOIS;BOIS;POELE;;;;
;;3000;;;;;;;H2;84;07;ARDECHE;;;;;;;;;;;;BOIS;CHAUDIERE;;;;
8047;950;8997;;13/02/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;VAILLANT;ECOCOMPACT VCC 266/4-5;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;25;92
22827;3106;25933;;22/01/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;COLLECTIF;1990;de 1974 à 1990;;;;;RENOVATION SIMPLE;VIESSMANN;VITOCROSSAL 100;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;;98
6888;1280;8168;;05/03/2017;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;DE DIETRICH;MODULENS AGC25 / V 160SL;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;25.5;94
16094;3820;19914;;30/01/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;COLLECTIF;;;;;;;RENOVATION SIMPLE;DE DIETRICH;C230 ECO 210;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;;109
7951;1504;9455;;03/06/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;INDIVIDUEL;;;;;;;;VIESSMANN;VITODENS;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;26;
5499;1610;7109;;02/01/2018;07/04/2018;07/04/2018;2018;;H1;44;67;BAS-RHIN;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;VIESSMANN;VITODENS 222F;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;19;96
2518;140;2658;;06/10/2016;09/10/2016;09/10/2016;2016;;H3;93;13;BOUCHES-DU-RHONE;INDIVIDUEL;1940;av. 1945;3;100;564.3;CITE;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;TURBO FONTE;RIO;ELECTRICITE;BOIS;POELE;STANDARD;;9;79
2844;474;4076;758.29;05/02/2015;07/02/2015;07/02/2015;2015;;H3;93;13;BOUCHES-DU-RHONE;INDIVIDUEL;1970;de 1945 à 1973;;150;1137;CITE;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;CHAPPEE;LU PLATINUM DUO HTE 3.24;;GAZ;CHAUDIERE;A CONDENSATION;;24;109
;;30546;;22/04/2014;13/07/2018;13/07/2018;2018;;H3;93;13;BOUCHES-DU-RHONE;COLLECTIF;1960;de 1945 à 1973;;;2600;CEE;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;DE DIETRICH;C230;GAZ;BOIS;CHAUDIERE;A CONDENSATION;;;
;;31013;;08/05/2016;13/07/2018;13/07/2018;2018;;H3;93;13;BOUCHES-DU-RHONE;COLLECTIF;;;;;;;RENOVATION SIMPLE;;;FIOUL;GAZ;CHAUDIERE;A CONDENSATION;;;
;;3829;;26/06/2018;26/06/2018;26/06/2018;2018;;H1;28;14;CALVADOS;INDIVIDUEL;1975;de 1974 à 1990;9;160;;;BBC RENOVATION;BOSCH;4500 WT;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;;90
4205;1100;5305;;09/09/2017;07/06/2018;07/06/2018;2018;;H2;75;17;CHARENTE-MARITIME;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;FRISQUET;HYDROMOTRIX VISIO 25 KW;GAZ;GAZ;CHAUDIERE;A CONDENSATION;;25;94
;;12838;;07/06/2018;07/06/2018;07/06/2018;2018;;H2;75;17;CHARENTE-MARITIME;INDIVIDUEL;;;;;;;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;DAIKIN;ALTHERMA 14 KW MONO;FIOUL;ELECTRICITE;PAC;AIR-EAU;;;116
;;7109.004739;;;;;;;H1;32;;;INDIVIDUEL;1900;av. 1945;;146;;;Rénovation à plusieurs gestes de travaux;;;ELECTRICITE;BOIS;POELE;;;;
5601;2500;8101;2500;04/07/2018;24/08/2018;24/08/2018;2018;;H3;94;2A;CORSE-DU-SUD;INDIVIDUEL;1948;de 1945 à 1973;5;135;600;AGIR+;BBC RENOVATION;;;ELECTRICITE;ELECTRICITE;PAC;;4;5.5;
4240;879;5939;820.47;21/05/2018;24/08/2018;24/08/2018;2018;;H3;94;2A;CORSE-DU-SUD;INDIVIDUEL;1989;de 1974 à 1990;3;106;600;AGIR+;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;SUTI;;ELECTRICITE;BOIS;POELE;;;9.5;94.6
2797;1176;4844;871.2;24/07/2017;15/12/2017;15/12/2017;2017;1;H3;94;2A;CORSE-DU-SUD;INDIVIDUEL;1948;de 1945 à 1973;3;98;600;AGIR+;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;DAIKIN;R32;ELECTRICITE;ELECTRICITE;PAC;;5.1;4.3;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;4;;0;;;;;;;;;;;
;;18690;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1880;av. 1945;6;185;10511;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;22462;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;200;10750;;Changement de chaudière, Menuiseries, isolation;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1991;ap. 1990;;;0;;Chauffage, Menuiseries, Autre;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;;;0;;;;;;;;;;;
;;;;;;10/01/2017;2017;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;14811;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1974;de 1974 à 1990;5;110;7028;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;16232;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;162;8904;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1983;de 1974 à 1990;;;0;;Isolation combles/toiture, Chauffage, Menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1990;de 1974 à 1990;6;120;0;;Chauffage, Ventilation;;;;;;;;;
;;22876;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1976;de 1974 à 1990;4;93;12750;;Isolation combles/toiture, Chauffage, Menuiseries, Ventilation, Autre;;;;;;;;;
;;9875;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;212;6912;;Chauffage;;;;;;;;;
;;24654;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 à 1973;5;102;12750;;Chauffage, Menuiseries, Volets roulants;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 à 1973;;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage;;;;;;;;;
;;5886;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;4;92;2957;;Chauffage (remplacement PAC par poele à bois), VMC;;;ELECTRICITE;BOIS;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;;2005;ap. 1990;;;0;;Chauffage + menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;;0;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;6;;0;;Isolation combles/toiture, Chauffage, Menuiseries, Electricité;;;;;;;;;
;;;;;;06/01/2017;2017;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Isolation murs, Isolation combles/toiture, Chauffage, Menuiseries, Ventilation, Electricité, Plomberie, Gros Oeuvre, Toiture/Charpente;;;;;;;;;
;;10629;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1972;de 1945 à 1973;;103;7440;;Chauffage, Menuiseries;;;;;;;;;
;;5500;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;3;63;4600;;Chauffage;;;;;;;;;
;;16587;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;2005;ap. 1990;6;139;12610;;Isolation combles/toiture, Chauffage;;;;;;;;;
;;18432;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1950;de 1945 à 1973;;;13652;;Chauffage, PE, isolation, remplacement de baignoire;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;Chauffage, Autre;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1870;av. 1945;;;0;;Isolation combles/toiture, Chauffage, Toiture/Charpente;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;;0;;;;;;;;;;;
;;7346;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1900;av. 1945;6;126;5143;;Chauffage;;;;;;;;;
;;6965;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1980;de 1974 à 1990;4;75;4238;;Installation d'un chauffage au gaz (actuellement bois);;;BOIS;GAZ;POELE;;;;
;;23401;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;;;;118;10600;;Chauffage, Menuiseries;;;;;;;;;
;;;;;;;;;H1;27;21;COTE-D'OR;INDIVIDUEL;1890;av. 1945;;;0;;amégement et isolation 1er étage, complément d'isolation RDC, changement des menuiseries les plus anciennes et chgt chauffage;;;;;;;;;
