cout_materiaux_ht;cout_implementation_ht;cout_total_ht;cout_induit_ht;date_signature_devis;date_facture;date_x;annee_travaux;revenu_mo;climat;code_region;region;code_departement;departement;type_logement;annee_construction;constr_cat;nb_pieces;surf_habitable;montant_aides_financieres;type_aides_financieres;renovation_globale;marque;modele;surface;puissance_installee;type_panneaux
;;12069.19431;;;20/01/2012;20/01/2012;2012;;H2;53;BRE;56;MORBIHAN;;;;;;;;;CENTROSOLAR;;;3000;MONOCRISTALLIN
;;22748.81517;;;16/11/2015;16/11/2015;2015;;H2;53;BRE;56;MORBIHAN;;;;;;;;;GSE AIR SYSTEM;;;3000;POLYCRISTALLIN
;;23696.68246;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;;;;;;
;;8289.099526;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;PERFORMANT - BOUQUET 2 TRAVAUX;;;;;
;;11374.40758;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;TRES PERFORMANT - 3 BOUQUETS OU PLUS;;;;;
;;11253.08057;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;TRES PERFORMANT - 3 BOUQUETS OU PLUS;;;;;
;;2400;;;;;;;H1;84;ARA;42;LOIRE;;;;;;;;TRES PERFORMANT - 3 BOUQUETS OU PLUS;;;;;
;;20000;;;;;;;H2;84;ARA;;;;;;;;;;;;;;;
;;35000;;;;;;;H2;84;ARA;;;;;;;;;;;;;;;
7500;;13744.07583;;;;04/11/2011;2011;;H1;28;NOR;14;CALVADOS;;;;;;;;;;;;3000;
;;22559.24171;;;;29/07/2011;2011;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;3880;
;;18009.47867;;;;20/12/2011;2011;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;1000;
;;15165.87678;;;;20/12/2011;2011;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;600;
;;16113.74408;;;;29/07/2011;2011;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;3000;
;;39241.70616;;;;07/02/2012;2012;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;9000;
;;49763.03318;;;;22/06/2011;2011;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;7000;
;;17061.61137;;;;19/04/2013;2013;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;4000;
;;17061.61137;;;;03/05/2012;2012;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;3000;
;2289;10953.5545;;;;19/04/2013;2013;;;84;ARA;;;;;;;;;;;;;;3000;
;;9952.606635;;;;19/04/2013;2013;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;3000;
;;27488.15166;;;;25/06/2012;2012;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;5000;
12000;2112;14112;;;;17/04/2013;2013;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;;;;3000;
8056.872038;1421.800948;9478.672986;;13/07/2018;13/07/2018;13/07/2018;2018;;H1;84;ARA;01;AIN;;;;;;;;;BISOL;FULL BLACK;;3000;POLYCRISTALLIN
10510;4546;15159;;27/04/2018;10/07/2018;10/07/2018;2018;;H3;93;PAC;13;BOUCHES-DU-RHONE;INDIVIDUEL;1980;de 1974 à 1990;6;120;0;;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;DUALSON;DUALSON 280WC MONOCRISTALLIN 60 CELLULES;;6160;MONOCRISTALLIN
5175;2300;7375;;15/05/2018;10/07/2018;10/07/2018;2018;;H3;93;PAC;13;BOUCHES-DU-RHONE;INDIVIDUEL;1980;de 1974 à 1990;6;;;;;Q.CELLS;Q.PEAK BLK4.1;18;3000;POLYCRISTALLIN
12100;600;12700;;30/05/2018;10/07/2018;10/07/2018;2018;;H3;93;PAC;13;BOUCHES-DU-RHONE;INDIVIDUEL;1980;de 1974 à 1990;6;120;;;RENOVATION A PLUSIEURS GESTES DE TRAVAUX;;ENPHASE;20;3000;POLYCRISTALLIN
5982;1149;7131;;14/02/2013;14/02/2013;14/02/2013;2013;7500;;6;MAY;976;MAYOTTE;INDIVIDUEL;2005;ap. 1990;4;300;0;;RENOVATION SIMPLE;;;8;170;MONOCRISTALLIN
4782.938389;938.3886256;5721.327014;;;;;;;H2;76;OCC;;;INDIVIDUEL;;;;;;;RENOVATION SIMPLE;;;;;
13345.97156;3336.492891;16682.46445;;;;;;;H2;76;OCC;;;INDIVIDUEL;1860;av. 1945;;;;;;;;;;
;;376.3033175;;11/06/2012;11/06/2012;11/06/2012;2012;;H1;24;CVL;28;EURE-ET-LOIR;;;;;;;;;SILLIA;ENERGIE SOLAR POLY;58.33;8400;POLYCRISTALLIN
8305.21327;2024.64455;703.3175355;;30/07/2013;30/07/2013;30/07/2013;2013;;H1;24;CVL;;;;;;;;;;;SUNPOWER;E20/327;14.68;2943;MONOCRISTALLIN
11412;4499;15911;;05/07/2018;05/07/2018;05/07/2018;2018;;H1;24;CVL;45;LOIRET;INDIVIDUEL;;;;;;;;SYSTOVI V-SYS;;31.5;6300;
10079;2650;12729;;05/07/2018;05/07/2018;05/07/2018;2018;;H1;24;CVL;45;LOIRET;INDIVIDUEL;;;;;;;;SOLARWORLD;BISUN CLEAR;;6720;MONOCRISTALLIN
5855;1560;8610;;21/03/2018;28/06/2018;28/06/2018;2018;;H1;27;BFC;71;SAONE-ET-LOIRE;INDIVIDUEL;;;;;;;;;LG330WC;21;3960;
1200;12799;13999;;;;;;;;76;OCC;;;;;;;;;;;;;;2500;
3000;16851;19851;;;;;;;;76;OCC;;;;;;;;;;;;;;2700;
;;12181;;;;;;;;76;OCC;;;;;;;;;;;;;;2500;
4100;19275;23375;;;;;;;;76;OCC;;;;;;;;;;;;;;3000;
